TIMESTAMP,UUID,ADDRESS,MAJOR,MINOR,TX_POWER,RSSI,SOS
2020-07-26 20:39:46,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:39:55,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-61,0
2020-07-26 20:40:08,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-45,1
2020-07-26 20:40:29,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:40:38,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-45,1
2020-07-26 20:40:39,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-48,1
2020-07-26 20:40:50,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-48,1
2020-07-26 20:40:59,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:41:08,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-57,1
2020-07-26 20:41:17,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-49,1
2020-07-26 20:41:27,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:41:39,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:41:52,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-49,1
2020-07-26 20:41:53,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-60,1
2020-07-26 20:42:04,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-45,1
2020-07-26 20:42:05,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-48,1
2020-07-26 20:42:15,3501c3de-cf84-11ea-9fea-5b6a114a5fd4,DC:A6:32:55:FA:FD,1,1,-60,-61,0
